英雄传说5——海之槛歌（共鸣石）

共鸣石名称      来源及作用      附加属性
装备后获得的魔法   魔法解释    消耗魔法值

禊  藏在克兰卡地下水路里的共鸣石，演奏刻与其上的音节可以解除状态异常   魔防御+5
康得  我方一人解毒  2
原貌重现  我方一人除中毒、睡眠以外所有状态解除  5

心眼  藏在特利姆、比安特间洞窟的共鸣石。演奏刻与其上的音节可以看穿透明化的怪物  运气+5
心眼  看穿透明化的一个敌人  2

水  藏在水琴窟的共鸣石，演奏刻与其上的音节可以使用水之攻击魔法  攻击力+3
水弹  水球飞击造成一个敌人伤害  4
海啸  呼唤海啸造成敌人全体伤害  12

生命  雷真老人托付的共鸣石，演奏刻与其上的音节可以使用恢复魔法  防御力+3 魔防御+3
回复I  我方一人稍微回复  4
回复II  我方一人较多回复  8
全体回复  我方全员较多回复  20
完全回复  我方一人完全回复  16

大地  藏在采石场地下的共鸣石，演奏刻与其上的音节可以使用地之攻击魔法  攻击力+3 防御力+2
飞石  岩石飞击造成一个敌人伤害  4
落石  巨大岩石飞降造成敌人全体伤害  12

摇篮曲  使因格团持有的共鸣石，演奏刻与其上的音节可以对对方催眠  敏捷度+5
摇篮曲  催眠一个敌人  6

忍耐  都加纳的艾格尔子爵托付的共鸣石，演奏刻与其上的音节可以提升我方防御力  防御力+3
防御提升  提升我方一人防御力  5

技  安渥林的艾德佳托付的共鸣石，演奏刻与其上的音节可以提升我方回避率  敏捷度+5 运气+5
闪避提升  提升我方一人回避力  5

束缚  留在留托姆岛的共鸣石，演奏刻与其上的音节可以封住敌人的行动  敏捷度+5 魔力+4
束缚  使一个敌人无法行动  8

的  藏在湖畔洞窟的共鸣石，演奏刻与其上的音节可以使出致命一击  攻击力+3 运气+5
锁定目标  引出我方一跟攻击力量最大限度  5

光  藏在雷之祠的共鸣石，演奏刻与其上的音节可以使用光之攻击魔法  攻击力+3
落雷  呼唤落雷造成一个敌人伤害  4
暴雷  呼唤狂雷造成敌人全体伤害  12

行进  藏在玛恰、夏尔夫间洞窟的共鸣石，演奏刻与其上的音节可以提升我方移动力  敏捷度+5
快板  提升我方一人敏捷度  5

力  夏尔夫的拉欧特里欧长老托付的共鸣石，演奏刻与其上的音节可以提升我方攻击力  攻击力+10
最强音  提升我方一人攻击力  5

暗  幼时雷欧涅托付给马克贝因的共鸣石，演奏刻与其上的音节可以使用暗之攻击魔法  攻击力+3 魔力+4
暗卷  暗之旋涡造成一个敌人伤害  4
黑洞  狂暴黑暗造成敌人全体伤害  12

风  在风窟被布雷加等人带走的共鸣石，演奏刻与其上的音节可以使用风之攻击魔法  攻击力+3
暴风  真空风刃造成一个敌人伤害  4
龙卷风  呼唤龙卷风造成敌人全体伤害  12

精灵  藏在水底洞窟的共鸣石，演奏刻与其上的音节可以呼唤出地、风、水、火、光、暗之精灵  魔力+5
地精  召唤一只地之精灵  10
水精  召唤一只水之精灵  10
火精  召唤一只火之精灵  10
风精  召唤一只风之精灵  10
光精  召唤一只光之精灵  10
暗精  召唤一只暗之精灵  10

炎  藏在塞尔巴特地下的共鸣石，演奏刻与其上的音节可以使用炎之攻击魔法  攻击力+3
火炎  火炎弹飞击造成一个敌人伤害  4
暴炎  产生灼热火炎造成敌人全体伤害  12

迷惑  布雷加等人装与木人的共鸣石，演奏刻与其上的音节可以是敌人混乱  魔力+4 魔防御+3
心灵提升  使一个敌人混乱  4

泥泞  藏在泥泞洞窟中的共鸣石，演奏刻与其上的音节可以减低敌人移动力  敏捷度+3
慢板  降低敌方一人敏捷度  5

镜  藏在镜之洞窟中的共鸣石，演奏刻与其上的音节可以反弹魔法  魔防御+3
反射  反弹我方一人所受魔法伤害  5

爱  纳雷萨队长托付的共鸣石，演奏刻与其上的音节可以是我方昏倒状态复员  防御力+3 魔防御+5
觉醒之音节  我方一人从昏倒中回复  8
奇迹之音节  我方一人从昏倒中完全恢复  32

刻  迪欧尔王子托付的共鸣石，演奏刻与其上的音节可以停止时间  敏捷度+5
时间停止  魔法使用者以外全部无法动作  12

隐者  藏在雷克特岛的共鸣石，演奏刻与其上的音节可以隐身  魔防御+5
透明  使我方一人透明化  4

诞生  异界雷巴斯托付的共鸣石，单体没有魔法效果，期待所有共之音节融合的时候  全体属性+2
